,FIPS,State_x,"County, State",2019 Food Insecurity Rate,Cost Per Meal,% of All in Poverty,MEDHHINC_2019,% of adults less than HS Diploma 2015-19,Percent of adults with a high school diploma only 2015-19,Percent of adults completing some college or associate's degree 2015-19,Percent of adults with a bachelor's degree or higher 2015-19,State_y,Area name,Population 2020,Disabled workers,State,Area_name,Unemployment Rate,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Log PCTPOVALL_2019,Log MEDHHINC,Log Percent of adults with less than a high school diploma 2015-19,% of Disabled Workers
26,1083,AL,"Limestone County, Alabama",0.14,3.18,12,64729,15.3,30.4,28.6,25.7,AL,Limestone County,103570,160,AL,"Limestone County, AL",2.7,64729,125,2.48490665,11.0779646,2.727852828,0.001544849
27,1085,AL,"Lowndes County, Alabama",0.19,3.29,26.6,33930,21.7,39.6,24,14.7,AL,Lowndes County,10311,1350,AL,"Lowndes County, AL",5.8,33930,65.5,3.280911216,10.43205486,3.077312261,0.130928135
28,1089,AL,"Madison County, Alabama",0.13,3.16,11.5,68609,8.3,20.6,28.3,42.8,AL,Madison County,388153,1085,AL,"Madison County, AL",2.6,68609,132.5,2.442347035,11.136179,2.116255515,0.002795289
29,1093,AL,"Marion County, Alabama",0.19,2.98,16.9,44675,20.4,34.8,32,12.8,AL,Marion County,29341,10,AL,"Marion County, AL",3.5,44675,86.3,2.827313622,10.70716934,3.015534901,0.00034082
30,1095,AL,"Marshall County, Alabama",0.17,2.87,15.7,48913,18.4,31.1,31.1,19.4,AL,Marshall County,97612,280,AL,"Marshall County, AL",2.5,48913,94.5,2.753660712,10.79779849,2.912350665,0.0028685
31,1097,AL,"Mobile County, Alabama",0.16,3.24,17.7,49492,13.5,34,29.3,23.2,AL,Mobile County,414809,10,AL,"Mobile County, AL",3.7,49492,95.6,2.87356464,10.80956632,2.602689685,2.41E-05
32,1101,AL,"Montgomery County, Alabama",0.15,3.24,15.8,52711,13.3,25,28.4,33.4,AL,Montgomery County,228954,300,AL,"Montgomery County, AL",3.1,52711,101.8,2.76000994,10.87257944,2.587764035,0.001310307
33,1103,AL,"Morgan County, Alabama",0.15,3.08,13.7,54355,15.9,30.4,31.3,22.4,AL,Morgan County,123421,210,AL,"Morgan County, AL",2.6,54355,105,2.617395833,10.90329188,2.766319109,0.001701493
34,1105,AL,"Perry County, Alabama",0.2,3.31,33.9,29572,17.2,36.9,23.1,22.8,AL,Perry County,8511,835,AL,"Perry County, AL",5.3,29572,57.1,3.523415014,10.29458325,2.844909384,0.09810833
35,1107,AL,"Pickens County, Alabama",0.18,3.38,24.3,40249,18.5,37.2,30.2,14.1,AL,Pickens County,19123,770,AL,"Pickens County, AL",3.5,40249,77.7,3.19047635,10.60284044,2.917770732,0.040265649
36,1109,AL,"Pike County, Alabama",0.17,3.4,21.8,41271,15,35.7,25.5,23.7,AL,Pike County,33009,1605,AL,"Pike County, AL",3.3,41271,79.7,3.08190997,10.62791535,2.708050201,0.048623103
37,1119,AL,"Sumter County, Alabama",0.2,2.99,36.4,29209,13.3,35.4,29.8,21.6,AL,Sumter County,12345,650,AL,"Sumter County, AL",4.6,29209,56.4,3.594568775,10.28223216,2.587764035,0.052652896
38,1129,AL,"Washington County, Alabama",0.18,3.26,18.6,48864,17.4,43.1,26.9,12.7,AL,Washington County,15388,305,AL,"Washington County, AL",4.7,48864,94.4,2.923161581,10.79679621,2.856470206,0.019820639
39,2020,AK,"Anchorage Municipality, Alaska",0.11,3.77,9.5,82512,6.1,23.4,34.4,36.1,AK,Anchorage Municipality,291247,25,AK,"Anchorage Borough/municipality, AK",4.4,82512,106.9,2.251291799,11.32069902,1.808288771,8.58E-05
40,2050,AK,"Bethel Census Area, Alaska",0.23,4.09,23.5,48262,19.1,46.4,22.6,11.9,AK,Bethel Census Area,18666,485,AK,"Bethel Census Area, AK",11.5,48262,62.5,3.157000421,10.78439978,2.949688335,0.025983071
41,2060,AK,"Bristol Bay Borough, Alaska",0.13,3.9,9.8,87950,6,37,34.5,22.5,AK,Bristol Bay Borough,844,5,AK,"Bristol Bay Borough, AK",5.3,87950,113.9,2.282382386,11.38452375,1.791759469,0.005924171
42,2070,AK,"Dillingham Census Area, Alaska",0.16,4.16,18.1,57436,13.7,37.2,27,22.1,AK,Dillingham Census Area,4857,10,AK,"Dillingham Census Area, AK",7,57436,74.4,2.895911938,10.95842656,2.617395833,0.002058884
43,2090,AK,"Fairbanks North Star Borough, Alaska",0.11,3.65,7.2,74076,5.5,22.6,40.5,31.4,AK,Fairbanks North Star Borough,95655,170,AK,"Fairbanks North Star Borough, AK",4.7,74076,95.9,1.974081026,11.21284687,1.704748092,0.00177722
44,2110,AK,"Juneau City and Borough, Alaska",0.1,3.46,6.3,85419,3.6,21.6,36.4,38.4,AK,Juneau City and Borough,32255,10,AK,"Juneau Borough/city, AK",3.9,85419,110.6,1.840549633,11.35532384,1.280933845,0.000310029
45,2122,AK,"Kenai Peninsula Borough, Alaska",0.14,4.47,10.4,68625,7.3,31.2,36.8,24.6,AK,Kenai Peninsula Borough,58799,595,AK,"Kenai Peninsula Borough, AK",6,68625,88.9,2.341805806,11.13641218,1.987874348,0.01011922
46,2130,AK,"Ketchikan Gateway Borough, Alaska",0.13,3.63,9.4,75706,7.2,29.7,37.8,25.3,AK,Ketchikan Gateway Borough,13948,715,AK,"Ketchikan Gateway Borough, AK",5.5,75706,98.1,2.240709689,11.2346127,1.974081026,0.05126183
47,2150,AK,"Kodiak Island Borough, Alaska",0.12,3.91,7.1,79669,10.2,29.7,32.1,28,AK,Kodiak Island Borough,13101,1165,AK,"Kodiak Island Borough, AK",4.9,79669,103.2,1.960094784,11.28563583,2.32238772,0.08892451
48,2170,AK,"Matanuska-Susitna Borough, Alaska",0.12,4.27,9.6,75856,7.1,33.1,38.3,21.6,AK,Matanuska-Susitna Borough,107081,335,AK,"Matanuska-Susitna Borough, AK",6.1,75856,98.3,2.261763098,11.23659209,1.960094784,0.003128473
49,2180,AK,"Nome Census Area, Alaska",0.19,4.48,20.7,58464,15.4,41.1,27.3,16.1,AK,Nome Census Area,10046,465,AK,"Nome Census Area, AK",9.8,58464,75.7,3.0301337,10.97616646,2.734367509,0.046287079
50,2185,AK,"North Slope Borough, Alaska",0.13,3.7,11.4,84784,10.3,43,30.2,16.5,AK,North Slope Borough,11031,20,AK,"North Slope Borough, AK",5.6,84784,109.8,2.433613355,11.34786212,2.332143895,0.001813072
51,2188,AK,"Northwest Arctic Borough, Alaska",0.22,3.96,24,61660,17.5,46.7,22.6,13.2,AK,Northwest Arctic Borough,7793,505,AK,"Northwest Arctic Borough, AK",12.6,61660,79.9,3.17805383,11.0293907,2.862200881,0.064801745
52,4001,AZ,"Apache County, Arizona",0.24,3.28,33.4,35386,19.6,32.2,35.9,12.3,AZ,Apache County,66021,75,AZ,"Apache County, AZ",10.1,35386,57,3.5085559,10.47407154,2.975529566,0.001136002
53,4003,AZ,"Cochise County, Arizona",0.14,3.06,16.6,48650,12.6,24.1,40.2,23.1,AZ,Cochise County,125447,10,AZ,"Cochise County, AZ",5.8,48650,78.4,2.809402695,10.79240709,2.533696814,7.97E-05
54,4005,AZ,"Coconino County, Arizona",0.15,3.4,15.9,58301,9.5,22,32.3,36.2,AZ,Coconino County,145101,955,AZ,"Coconino County, AZ",5.8,58301,94,2.766319109,10.97337452,2.251291799,0.006581622
55,4009,AZ,"Graham County, Arizona",0.15,3.03,20.1,50685,14.7,28.7,41.4,15.2,AZ,Graham County,38533,270,AZ,"Graham County, AZ",4.9,50685,81.7,3.000719815,10.83338529,2.687847494,0.007006981
56,4011,AZ,"Greenlee County, Arizona",0.12,3.14,9.3,68066,11.9,34.7,39.8,13.5,AZ,Greenlee County,9563,555,AZ,"Greenlee County, AZ",4,68066,109.7,2.2300144,11.1282331,2.4765384,0.058036181
57,4015,AZ,"Mohave County, Arizona",0.17,3.2,16,49712,13.9,35.3,37.8,12.9,AZ,Mohave County,213267,145,AZ,"Mohave County, AZ",5.9,49712,80.1,2.772588722,10.81400163,2.63188884,0.000679899
58,4017,AZ,"Navajo County, Arizona",0.21,3.05,25.2,40676,16.6,30.3,37.8,15.3,AZ,Navajo County,106717,0,AZ,"Navajo County, AZ",7.6,40676,65.6,3.226843995,10.61339352,2.809402695,0
59,4019,AZ,"Pima County, Arizona",0.13,3.22,14,56150,11.6,22.2,33.8,32.4,AZ,Pima County,1043433,0,AZ,"Pima County, AZ",4.5,56150,90.5,2.63905733,10.93578196,2.451005098,0
60,4021,AZ,"Pinal County, Arizona",0.12,3.14,12.1,62067,14.2,29.3,37,19.5,AZ,Pinal County,425264,65,AZ,"Pinal County, AZ",5,62067,100.1,2.493205453,11.03596973,2.653241965,0.000152846
61,4027,AZ,"Yuma County, Arizona",0.18,2.8,20.4,47024,26.7,25.7,32.5,15,AZ,Yuma County,203881,270,AZ,"Yuma County, AZ",16.8,47024,75.8,3.015534901,10.75841339,3.284663565,0.001324302
62,5001,AR,"Arkansas County, Arkansas",0.16,3,15.8,52539,16.1,38.9,29.2,15.8,AR,Arkansas County,17149,320,AR,"Arkansas County, AR",3,52539,107.2,2.76000994,10.86931103,2.778819272,0.01865998
63,5031,AR,"Craighead County, Arkansas",0.16,2.74,16.9,47766,10.7,34.6,28.5,26.2,AR,Craighead County,111231,0,AR,"Craighead County, AR",2.8,47766,97.4,2.827313622,10.77406937,2.370243741,0
64,5033,AR,"Crawford County, Arkansas",0.17,2.72,18.3,44600,15,37.3,31.7,16,AR,Crawford County,60133,115,AR,"Crawford County, AR",3.3,44600,91,2.90690106,10.70548914,2.708050201,0.001912427
65,5035,AR,"Crittenden County, Arkansas",0.16,2.96,22.4,41976,17.4,34.8,30.4,17.4,AR,Crittenden County,48163,15,AR,"Crittenden County, AR",4.2,41976,85.6,3.109060959,10.64485331,2.856470206,0.000311442
66,5037,AR,"Cross County, Arkansas",0.17,2.79,17.8,45273,16.4,41.5,27.7,14.4,AR,Cross County,16833,10,AR,"Cross County, AR",4.2,45273,92.4,2.879198457,10.72046611,2.797281335,0.000594071
67,5039,AR,"Dallas County, Arkansas",0.16,2.91,18.8,41314,16.1,44.1,28,11.9,AR,Dallas County,6482,35,AR,"Dallas County, AR",4.6,41314,84.3,2.93385687,10.6289567,2.778819272,0.005399568
68,5041,AR,"Desha County, Arkansas",0.19,2.88,25.4,37005,18.9,44.6,22.4,14.1,AR,Desha County,11395,10,AR,"Desha County, AR",4.4,37005,75.5,3.234749174,10.51880832,2.939161922,0.000877578
69,5043,AR,"Drew County, Arkansas",0.16,2.9,18.5,44162,13.1,35.3,28.8,22.8,AR,Drew County,17350,20,AR,"Drew County, AR",5.2,44162,90.1,2.917770732,10.69561997,2.57261223,0.001152738
70,5045,AR,"Faulkner County, Arkansas",0.15,3.01,14.4,58482,8.2,30.5,30.8,30.6,AR,Faulkner County,123498,45,AR,"Faulkner County, AR",3,58482,119.3,2.667228207,10.97647429,2.104134154,0.000364378
71,5047,AR,"Franklin County, Arkansas",0.2,2.79,16.2,45670,16.3,41,30.6,12.1,AR,Franklin County,17097,35,AR,"Franklin County, AR",3.3,45670,93.2,2.785011242,10.72919691,2.791165108,0.002047143
72,5049,AR,"Fulton County, Arkansas",0.19,2.9,17.7,32926,14.4,35.8,37.5,12.2,AR,Fulton County,12075,5,AR,"Fulton County, AR",4,32926,67.2,2.87356464,10.4020179,2.667228207,0.000414079
73,5051,AR,"Garland County, Arkansas",0.17,2.95,16.9,45786,10.9,31.4,36,21.6,AR,Garland County,100180,35,AR,"Garland County, AR",3.7,45786,93.4,2.827313622,10.73173365,2.388762789,0.000349371
74,5053,AR,"Grant County, Arkansas",0.16,3.05,12.1,58566,9.2,43.8,28.3,18.7,AR,Grant County,17958,5,AR,"Grant County, AR",3.2,58566,119.5,2.493205453,10.9779096,2.219203484,0.000278427
75,5055,AR,"Greene County, Arkansas",0.18,2.65,15.5,47098,11.8,45.9,26.2,16.2,AR,Greene County,45736,35,AR,"Greene County, AR",3.5,47098,96.1,2.740840024,10.75998582,2.468099531,0.000765262
76,5059,AR,"Hot Spring County, Arkansas",0.18,2.89,20.2,45860,14.2,39,33.5,13.3,AR,Hot Spring County,33040,25,AR,"Hot Spring County, AR",3.6,45860,93.6,3.005682604,10.73334856,2.653241965,0.000756659
77,5061,AR,"Howard County, Arkansas",0.16,2.89,16.8,41427,14.8,38.4,33.3,13.6,AR,Howard County,12785,35,AR,"Howard County, AR",3.2,41427,84.5,2.821378886,10.63168812,2.694627181,0.002737583
78,5065,AR,"Izard County, Arkansas",0.19,2.88,15.9,40233,16.2,38,32.7,13.1,AR,Izard County,13577,30,AR,"Izard County, AR",5.4,40233,82.1,2.766319109,10.60244283,2.785011242,0.002209619
79,5067,AR,"Jackson County, Arkansas",0.22,2.78,22.9,38636,19.8,42.5,27.5,10.1,AR,Jackson County,16755,5,AR,"Jackson County, AR",6.5,38636,78.8,3.131136911,10.56193976,2.985681938,0.000298418
80,5069,AR,"Jefferson County, Arkansas",0.17,2.95,24.4,40555,13.9,38.9,29.3,18,AR,Jefferson County,67260,30,AR,"Jefferson County, AR",5.4,40555,82.7,3.194583132,10.61041436,2.63188884,0.00044603
81,5071,AR,"Johnson County, Arkansas",0.19,2.83,17.5,40396,21.1,40.7,22.9,15.4,AR,Johnson County,25749,0,AR,"Johnson County, AR",4.5,40396,82.4,2.862200881,10.60648605,3.04927304,0
82,5073,AR,"Lafayette County, Arkansas",0.19,3.01,25.5,37164,20.3,40.2,23.7,15.8,AR,Lafayette County,6308,0,AR,"Lafayette County, AR",4.6,37164,75.8,3.238678452,10.52309583,3.010620886,0
83,5075,AR,"Lawrence County, Arkansas",0.18,2.75,18.4,39604,15.9,38.6,30.1,15.4,AR,Lawrence County,16216,20,AR,"Lawrence County, AR",4.1,39604,80.8,2.912350665,10.5866854,2.766319109,0.00123335
84,5077,AR,"Lee County, Arkansas",0.18,2.8,35.4,30421,24.2,40.4,24.7,10.7,AR,Lee County,8600,15,AR,"Lee County, AR",4.5,30421,62.1,3.56671182,10.32288844,3.186352633,0.001744186
85,5079,AR,"Lincoln County, Arkansas",0.16,2.89,27.1,44272,18.9,47.3,24.1,9.7,AR,Lincoln County,12941,30,AR,"Lincoln County, AR",4.3,44272,90.3,3.299533728,10.6981077,2.939161922,0.002318213
86,5081,AR,"Little River County, Arkansas",0.16,2.88,17.8,43257,11,44.7,31.8,12.5,AR,Little River County,12026,50,AR,"Little River County, AR",4.3,43257,88.2,2.879198457,10.67491435,2.397895273,0.004157658
87,5083,AR,"Logan County, Arkansas",0.19,2.75,17.4,42249,13.8,45.1,27.8,13.3,AR,Logan County,21131,10,AR,"Logan County, AR",4.3,42249,86.2,2.856470206,10.65133596,2.624668592,0.000473238
88,5085,AR,"Lonoke County, Arkansas",0.14,3.05,10.7,62782,10.9,36.7,31.8,20.6,AR,Lonoke County,74015,5,AR,"Lonoke County, AR",3.2,62782,128.1,2.370243741,11.04742369,2.388762789,6.76E-05
89,5089,AR,"Marion County, Arkansas",0.18,2.99,16.3,38760,13.5,37.5,31.9,17.1,AR,Marion County,16826,165,AR,"Marion County, AR",4,38760,79.1,2.791165108,10.56514407,2.602689685,0.009806252
90,5091,AR,"Miller County, Arkansas",0.17,2.99,14.1,50905,13.5,35.3,34.4,16.8,AR,Miller County,42600,50,AR,"Miller County, AR",4.1,50905,103.8,2.646174797,10.83771643,2.602689685,0.001173709
91,5101,AR,"Newton County, Arkansas",0.17,2.82,18.1,37648,13.5,35.4,30.6,20.5,AR,Newton County,7225,245,AR,"Newton County, AR",3.5,37648,76.8,2.895911938,10.53603511,2.602689685,0.033910035
92,5141,AR,"Van Buren County, Arkansas",0.19,2.96,19.9,38096,14.9,42.6,28,14.5,AR,Van Buren County,15796,5,AR,"Van Buren County, AR",4.9,38096,77.7,2.990719732,10.54786457,2.701361213,0.000316536
93,5143,AR,"Washington County, Arkansas",0.14,2.95,15.1,52158,15,25.7,26,33.3,AR,Washington County,245871,170,AR,"Washington County, AR",2.5,52158,106.4,2.714694744,10.86203285,2.708050201,0.000691419
94,5149,AR,"Yell County, Arkansas",0.16,2.75,15.6,44469,21.8,40,25.3,12.8,AR,Yell County,20263,55,AR,"Yell County, AR",4,44469,90.7,2.747270914,10.7025476,3.08190997,0.002714307
95,6001,CA,"Alameda County, California",0.08,4,8.9,107589,11.6,17.6,23.5,47.4,CA,Alameda County,1682353,165,CA,"Alameda County, CA",3,107589,133.8,2.186051277,11.58607369,2.451005098,9.81E-05
96,6011,CA,"Colusa County, California",0.13,3.37,12,59048,28.7,26.2,30,15,CA,Colusa County,21839,50,CA,"Colusa County, CA",13,59048,73.4,2.48490665,10.98610595,3.356897123,0.002289482
97,6013,CA,"Contra Costa County, California",0.08,3.77,7.9,106555,10.5,17.3,29.9,42.4,CA,Contra Costa County,1165927,110,CA,"Contra Costa County, CA",3.1,106555,132.5,2.066862759,11.57641656,2.351375257,9.43E-05
98,6019,CA,"Fresno County, California",0.15,3.03,20.5,56926,24,22.7,32.1,21.2,CA,Fresno County,1008654,165,CA,"Fresno County, CA",7.4,56926,70.8,3.020424886,10.94950746,3.17805383,0.000163584
99,6021,CA,"Glenn County, California",0.14,3.13,12.1,55682,25.2,27.2,33.4,14.2,CA,Glenn County,28917,25,CA,"Glenn County, CA",6.2,55682,69.2,2.493205453,10.92741221,3.226843995,0.000864543
100,6023,CA,"Humboldt County, California",0.15,3.3,19.1,51134,9.5,22.2,37.9,30.4,CA,Humboldt County,136463,20,CA,"Humboldt County, CA",3.7,51134,63.6,2.949688335,10.84220492,2.251291799,0.00014656
101,6025,CA,"Imperial County, California",0.19,2.75,22,48102,30.3,24.3,30.2,15.2,CA,Imperial County,179702,0,CA,"Imperial County, CA",20.9,48102,59.8,3.091042453,10.78107904,3.411147713,0
102,6027,CA,"Inyo County, California",0.1,3.25,11.7,59605,11.4,28.6,32.8,27.2,CA,Inyo County,19016,15,CA,"Inyo County, CA",3.6,59605,74.1,2.459588842,10.99549474,2.433613355,0.000788809
103,6029,CA,"Kern County, California",0.14,2.98,19,53245,25.9,27.8,29.9,16.4,CA,Kern County,909235,265,CA,"Kern County, CA",7.9,53245,66.2,2.944438979,10.88265918,3.254242969,0.000291454
104,6031,CA,"Kings County, California",0.13,3.01,16,57297,26.6,25.3,33.4,14.7,CA,Kings County,152486,20,CA,"Kings County, CA",8,57297,71.2,2.772588722,10.95600355,3.280911216,0.00013116
105,6033,CA,"Lake County, California",0.15,3.98,18.3,46897,14.2,30.5,39.7,15.5,CA,Lake County,68163,300,CA,"Lake County, CA",5.2,46897,58.3,2.90690106,10.75570899,2.653241965,0.004401215
106,6035,CA,"Lassen County, California",0.12,3.92,16.5,53613,16.8,34.5,35.7,12.9,CA,Lassen County,32730,110,CA,"Lassen County, CA",4.7,53613,66.7,2.803360381,10.88954685,2.821378886,0.003360831
107,6037,CA,"Los Angeles County, California",0.11,3.47,13.4,72721,20.9,20.6,26,32.5,CA,Los Angeles County,10014009,375,CA,"Los Angeles County, CA",4.6,72721,90.4,2.595254707,11.19438548,3.039749159,3.74E-05
108,6039,CA,"Madera County, California",0.13,3.81,17.6,61105,28.1,24.9,32.5,14.6,CA,Madera County,156255,25,CA,"Madera County, CA",7,61105,76,2.867898902,11.02034897,3.335769576,0.000159995
109,6043,CA,"Mariposa County, California",0.14,3.17,15.1,52760,9.4,24.4,41.7,24.6,CA,Mariposa County,17131,90,CA,"Mariposa County, CA",4.6,52760,65.6,2.714694744,10.87350861,2.240709689,0.005253634
110,6045,CA,"Mendocino County, California",0.14,3.53,14,52309,13.5,25,37.1,24.4,CA,Mendocino County,91601,25,CA,"Mendocino County, CA",4,52309,65,2.63905733,10.86492372,2.602689685,0.000272923
111,6051,CA,"Mono County, California",0.09,3.19,10.1,66226,11.4,24.2,35.5,28.8,CA,Mono County,13195,1210,CA,"Mono County, CA",3.8,66226,82.3,2.312535424,11.10082841,2.433613355,0.091701402
112,6053,CA,"Monterey County, California",0.1,3.44,12.6,76509,28.5,20.3,26.5,24.7,CA,Monterey County,439035,965,CA,"Monterey County, CA",6.4,76509,95.1,2.533696814,11.24516366,3.349904087,0.002198002
113,6057,CA,"Nevada County, California",0.1,4.96,9.4,69550,5.6,18.4,38.8,37.2,CA,Nevada County,102241,105,CA,"Nevada County, CA",3.4,69550,86.5,2.240709689,11.1498012,1.722766598,0.001026985
114,6059,CA,"Orange County, California",0.08,3.51,9.5,95761,14.5,17.2,27.7,40.6,CA,Orange County,3186989,0,CA,"Orange County, CA",2.8,95761,119.1,2.251291799,11.46961078,2.674148649,0
115,6061,CA,"Placer County, California",0.08,3.75,6.6,97688,5.5,18,36.8,39.7,CA,Placer County,404739,5,CA,"Placer County, CA",3.2,97688,121.5,1.887069649,11.48953401,1.704748092,1.24E-05
116,6063,CA,"Plumas County, California",0.13,3.43,13.2,59376,4.9,26.1,45.3,23.7,CA,Plumas County,19790,50,CA,"Plumas County, CA",7.8,59376,73.8,2.58021683,10.99164538,1.589235205,0.002526529
117,6065,CA,"Riverside County, California",0.09,3.17,11.3,72905,18,26.9,32.9,22.3,CA,Riverside County,2418185,15,CA,"Riverside County, CA",4.2,72905,90.7,2.424802726,11.1969125,2.890371758,6.20E-06
118,6067,CA,"Sacramento County, California",0.11,3.28,12.6,71891,12.3,22.4,34.5,30.9,CA,Sacramento County,1585055,380,CA,"Sacramento County, CA",3.7,71891,89.4,2.533696814,11.18290636,2.509599262,0.000239739
